wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,area,occup,occup_cat
4.5,11,3,9,0,0,0,0,1,south,construc,other
3.35,15,3,1,0,1,1,2,1,south,services,clerocc
5.95,11,15,9,1,0,1,1,0,south,construc,other
8.0,12,17,6,0,0,1,2,0,south,trade,profocc
3.0,4,36,0,0,0,1,1,0,south,construc,other
5.0,9,31,9,1,0,1,6,0,south,other,other
5.5,12,9,4,0,0,1,1,0,south,trade,other
2.65,12,42,10,0,1,1,0,1,west,services,clerocc
3.0,11,3,0,0,1,0,2,1,west,trade,other
4.5,12,37,14,0,1,1,0,0,west,profserv,clerocc
17.5,16,23,22,0,0,1,3,1,west,trade,profocc
8.18,13,21,5,0,0,0,0,1,west,trade,profocc
9.09,15,11,12,0,0,1,1,1,west,trcommpu,profocc
11.82,16,35,13,0,0,1,0,1,west,trcommpu,profocc
3.25,12,42,0,0,1,1,0,1,west,trade,profocc
4.5,12,3,0,0,0,0,0,1,west,other,other
4.5,12,13,0,0,0,1,0,1,west,other,other
3.71,9,14,7,0,0,1,2,0,south,ndurman,other
6.5,10,14,11,0,0,1,3,0,south,trade,other
2.9,12,39,1,0,1,1,0,0,south,profserv,servocc
5.6,11,11,8,0,0,1,2,0,south,other,clerocc
2.23,8,28,3,0,0,1,4,0,south,profserv,profocc
5.0,6,18,0,0,1,1,3,1,west,trade,servocc
8.33,16,6,2,0,0,1,0,1,west,trcommpu,clerocc
2.9,12,26,1,0,1,0,4,1,south,trade,clerocc
6.25,12,21,6,0,0,1,3,1,south,trade,profocc
4.55,16,34,2,0,0,1,0,0,south,profserv,profocc
3.28,12,17,2,0,1,0,0,0,south,profserv,servocc
2.3,10,2,0,0,1,0,4,1,northcen,trade,servocc
3.3,13,5,0,0,1,0,0,1,northcen,profserv,profocc
3.15,13,1,0,0,1,0,4,1,northcen,trcommpu,clerocc
12.5,14,40,30,0,0,1,0,1,northcen,other,profocc
5.15,16,39,21,0,1,0,0,1,west,profserv,clerocc
3.13,10,1,1,0,0,0,2,1,west,trade,servocc
7.25,12,14,5,0,0,1,3,1,west,trcommpu,other
2.9,12,2,2,0,1,0,0,1,west,profserv,clerocc
1.75,11,2,1,0,0,0,2,1,west,trade,servocc
2.89,0,42,0,0,1,1,2,0,west,services,other
2.9,5,34,0,0,1,1,5,0,west,ndurman,other
17.71,16,10,3,0,0,1,1,1,west,construc,profocc
6.25,16,4,3,0,0,1,0,0,west,trcommpu,servocc
2.6,9,4,0,0,0,0,1,0,west,trade,other
6.63,15,21,3,0,1,1,2,0,west,profserv,profocc
3.5,12,31,3,1,1,0,1,1,west,services,other
6.5,12,20,14,0,0,1,3,1,west,trade,other
3.0,12,36,1,1,1,0,0,1,west,services,other
4.38,13,7,0,1,0,1,1,1,west,ndurman,other
10.0,12,15,0,0,0,0,1,0,northeast,services,profocc
4.95,7,25,17,0,0,1,5,0,northeast,construc,other
9.0,17,7,0,0,1,1,2,0,northeast,profserv,profocc
1.43,12,17,0,0,1,1,2,0,northeast,trade,other
3.08,12,3,1,0,0,0,0,0,northeast,profserv,profocc
9.33,14,12,11,0,0,1,3,0,northeast,profserv,profocc
7.5,12,18,5,0,0,1,2,0,west,trade,other
4.75,13,47,1,0,0,1,0,0,west,trade,other
5.65,12,2,0,0,0,0,0,0,west,construc,other
15.0,16,14,2,0,1,1,2,0,west,profserv,profocc
2.27,10,2,0,0,1,0,3,0,west,trade,profocc
4.67,15,13,18,0,0,1,3,0,west,construc,profocc
11.56,16,5,1,0,0,1,0,0,west,ndurman,other
3.5,14,5,4,1,1,0,2,0,west,profserv,clerocc
